pfam	num_bact_phyla	bact_phyla	num_arch_phyla	arch_phyla	Ns_enrichment50	Ns_enrichment75	Os_enrichment50	Os_enrichment75	Ss_enrichment50	Ss_enrichment75	cons_pos50	cons_pos75MCM_lid	8	Thermoprotei,Methanomicrobia,Halobacteria,Thermoplasmata,Thermococci,Methanopyri,Archaeoglobi,Methanobacteria	1	Archaea	0.466	0.7	0.448	0.367	0.0	0.0	58	30
DUF3880	6	Methanobacteria,Proteobacteria,Thermoprotei,Firmicutes,Cyanobacteria,Planctomycetes	2	Archaea,Bacteria	0.2	0.143	0.55	0.286	0.0	0.0	20	7
Peptidase_M55	9	Thermoprotei,Halobacteria,Proteobacteria,Thermococci,Actinobacteria,Thermotogae,Deinococcus-Thermus,Chloroflexi,Firmicutes	2	Archaea,Bacteria	0.348	0.379	0.348	0.517	0.034	0.069	89	29
Toxin_YhaV	2	Cyanobacteria,Proteobacteria	1	Bacteria	0.538	0.781	0.376	0.188	0.011	0.031	93	32
DUF1062	3	Actinobacteria,Bacteroidetes,Proteobacteria	1	Bacteria	0.52	0.583	0.413	0.458	0.027	0.083	75	24
7TM-7TMR_HD	14	Proteobacteria,Chlamydiae,Cyanobacteria,Chloroflexi,Thermotogae,Spirochaetes,Fusobacteria,Bacteroidetes,Actinobacteria,Ignavibacteriae,Planctomycetes,Firmicutes,Rhodothermaeota,Aquificae	1	Bacteria	0.238	1.0	0.19	0.5	0.0	0.0	21	4
SPP	5	Methanomicrobia,Halobacteria,Thermoplasmata,Archaeoglobi,Chloroflexi	2	Archaea,Bacteria	0.199	0.186	0.263	0.271	0.032	0.014	156	70
Sucrose_synth	4	Proteobacteria,Thermotogae,Cyanobacteria,Firmicutes	1	Bacteria	0.437	0.459	0.404	0.514	0.007	0.0	151	37
DUF5763	1	Halobacteria	1	Archaea	0.412	0.407	0.765	0.704	0.088	0.111	34	27
SPW	5	Chlamydiae,Actinobacteria,Halobacteria,Proteobacteria,Chloroflexi	2	Bacteria,Archaea	0.286	0.5	0.143	0.0	0.0	0.0	14	4
RuvA_C	18	Actinobacteria,Chlamydiae,Methanomicrobia,Acidobacteria,Cyanobacteria,Chloroflexi,Chlorobi,Proteobacteria,Thermotogae,Deinococcus-Thermus,Bacteroidetes,Fusobacteria,Firmicutes,Ignavibacteriae,Spirochaetes,Planctomycetes,Aquificae,Rhodothermaeota	2	Bacteria,Archaea	0.2	0.0	0.333	0.0	0.0	0.0	15	6
AbiJ_NTD4	3	Thermotogae,Methanobacteria,Thermococci	2	Bacteria,Archaea	0.318	0.353	0.645	0.588	0.028	0.029	107	34
PTS_IIB	12	Actinobacteria,Halobacteria,Proteobacteria,Chloroflexi,Deinococcus-Thermus,Spirochaetes,Fusobacteria,Firmicutes,Tenericutes,Thermoprotei,Thermococci,Thermotogae	2	Bacteria,Archaea	0.0	0.0	0.538	0.667	0.154	0.333	13	3
Ecotin	2	Acidobacteria,Proteobacteria	1	Bacteria	0.414	0.421	0.425	0.368	0.057	0.026	87	38
NTP_transf_3	25	Thermoprotei,Actinobacteria,Methanomicrobia,Halobacteria,Thermoplasmata,Proteobacteria,Chlamydiae,Thermococci,Acidobacteria,Cyanobacteria,Chloroflexi,Chlorobi,Methanopyri,Archaeoglobi,Methanobacteria,Thermotogae,Deinococcus-Thermus,Bacteroidetes,Spirochaetes,Fusobacteria,Firmicutes,Ignavibacteriae,Planctomycetes,Aquificae,Rhodothermaeota	2	Archaea,Bacteria	0.35	0.625	0.1	0.25	0.0	0.0	20	8
GCHY-1	17	Thermoprotei,Methanomicrobia,Halobacteria,Thermoplasmata,Proteobacteria,Thermococci,Methanopyri,Archaeoglobi,Methanobacteria,Thermotogae,Spirochaetes,Firmicutes,Chloroflexi,Planctomycetes,Actinobacteria,Aquificae,Deinococcus-Thermus	2	Archaea,Bacteria	0.405	0.561	0.399	0.491	0.059	0.035	153	57
CTP-dep_RFKase	9	Thermoprotei,Methanomicrobia,Halobacteria,Thermoplasmata,Thermococci,Methanopyri,Archaeoglobi,Methanobacteria,Proteobacteria	2	Archaea,Bacteria	0.41	0.424	0.361	0.424	0.016	0.0	61	33
PQQ	13	Halobacteria,Methanomicrobia,Acidobacteria,Thermoprotei,Proteobacteria,Chloroflexi,Methanobacteria,Ignavibacteriae,Thermoplasmata,Planctomycetes,Bacteroidetes,Firmicutes,Actinobacteria	2	Archaea,Bacteria	0.091	0.333	0.636	0.0	0.0	0.0	11	3
ABC_trans_CmpB	6	Actinobacteria,Methanomicrobia,Fusobacteria,Firmicutes,Chloroflexi,Proteobacteria	2	Bacteria,Archaea	0.268	0.267	0.39	0.533	0.0	0.0	41	15
Sigma54_activat	20	Actinobacteria,Chlamydiae,Thermoplasmata,Proteobacteria,Acidobacteria,Cyanobacteria,Chloroflexi,Chlorobi,Methanobacteria,Thermotogae,Deinococcus-Thermus,Bacteroidetes,Spirochaetes,Fusobacteria,Firmicutes,Ignavibacteriae,Planctomycetes,Aquificae,Halobacteria,Rhodothermaeota	2	Bacteria,Archaea	0.344	0.4	0.427	0.42	0.01	0.02	96	50
PepSY_like	4	Bacteroidetes,Ignavibacteriae,Spirochaetes,Proteobacteria	1	Bacteria	0.154	0.333	0.154	0.0	0.0	0.0	13	3
GlcNAc_2-epim	15	Halobacteria,Methanomicrobia,Acidobacteria,Chloroflexi,Actinobacteria,Proteobacteria,Archaeoglobi,Methanobacteria,Planctomycetes,Cyanobacteria,Spirochaetes,Thermoplasmata,Firmicutes,Bacteroidetes,Rhodothermaeota	2	Archaea,Bacteria	0.0	0.0	0.5	0.667	0.0	0.0	16	3
Glucos_trans_II	2	Firmicutes,Proteobacteria	1	Bacteria	0.348	0.431	0.275	0.328	0.033	0.0	302	58
Y2_Tnp	7	Proteobacteria,Acidobacteria,Chloroflexi,Methanomicrobia,Fusobacteria,Bacteroidetes,Firmicutes	2	Bacteria,Archaea	0.711	1.0	0.132	0.143	0.0	0.0	38	7
DDE_5	12	Proteobacteria,Chlamydiae,Acidobacteria,Halobacteria,Cyanobacteria,Methanomicrobia,Deinococcus-Thermus,Bacteroidetes,Chloroflexi,Firmicutes,Actinobacteria,Planctomycetes	2	Bacteria,Archaea	0.167	0.0	0.458	2.0	0.0	0.0	24	2
